,Unnamed: 0,time,row_384,column_384,rfu_value,RNAseT,standard_conc,replicate,reporter,reporter_conc,sample_set
0,0,00:00:00,J,1,6434.911,standard,10,a,standard,,standard
1,1,00:00:00,K,1,6429.1190000000015,standard,10,b,standard,,standard
2,2,00:00:00,L,1,6866.415,RNAseT_added,,a,DNA-RNA,45,H20
3,3,00:00:00,M,1,6356.719,RNAseT_added,,b,DNA-RNA,45,H20
4,4,00:00:00,N,1,46.33600000000001,RNAseT_added,,a,DNA-RNA,45,2XBB
5,5,00:00:00,O,1,46.33600000000001,RNAseT_added,,b,DNA-RNA,45,2XBB
6,6,00:00:00,J,3,3153.743,standard,5,a,standard,,standard
7,7,00:00:00,K,3,2780.16,standard,5,b,standard,,standard
8,8,00:00:00,L,3,3579.456,RNAseT_added,,a,DNA-RNA,15,H20
9,9,00:00:00,M,3,2884.416,RNAseT_added,,b,DNA-RNA,15,H20
10,10,00:00:00,N,3,26.064,RNAseT_added,,a,DNA-RNA,15,2XBB
11,11,00:00:00,O,3,40.544,RNAseT_added,,b,DNA-RNA,15,2XBB
12,12,00:00:00,J,5,1526.192,standard,2.5,a,standard,,standard
13,13,00:00:00,K,5,1355.328,standard,2.5,b,standard,,standard
14,14,00:00:00,L,5,1007.808,RNAseT_added,,a,DNA-RNA,5,H20
15,15,00:00:00,M,5,776.128,RNAseT_added,,b,DNA-RNA,5,H20
16,16,00:00:00,N,5,34.751999999999995,RNAseT_added,,a,DNA-RNA,5,2XBB
17,17,00:00:00,O,5,37.648,RNAseT_added,,b,DNA-RNA,5,2XBB
18,18,00:00:00,J,7,642.9119999999998,standard,1.25,a,standard,,standard
19,19,00:00:00,K,7,579.2,standard,1.25,b,standard,,standard
20,20,00:00:00,L,7,104.256,RNAseT_added,,a,DNA-RNA,1.66,H20
21,21,00:00:00,M,7,118.736,RNAseT_added,,b,DNA-RNA,1.66,H20
22,22,00:00:00,N,7,34.751999999999995,RNAseT_added,,a,DNA-RNA,1.66,2XBB
23,23,00:00:00,O,7,43.44,RNAseT_added,,b,DNA-RNA,1.66,2XBB
24,24,00:00:00,J,9,240.368,standard,0.625,a,standard,,standard
25,25,00:00:00,K,9,196.928,standard,0.625,b,standard,,standard
26,26,00:00:00,L,9,37.648,RNAseT_added,,a,DNA-RNA,0.833,H20
27,27,00:00:00,M,9,43.44,RNAseT_added,,b,DNA-RNA,0.833,H20
28,28,00:00:00,N,9,52.128,RNAseT_added,,a,DNA-RNA,0.833,2XBB
29,29,00:00:00,O,9,57.92,RNAseT_added,,b,DNA-RNA,0.833,2XBB
30,30,00:00:00,J,11,118.736,standard,0.3125,a,standard,,standard
31,31,00:00:00,K,11,121.632,standard,0.3125,b,standard,,standard
32,32,00:00:00,L,11,26.064,RNAseT_added,,a,DNA-RNA,0,H20
33,33,00:00:00,M,11,31.856,RNAseT_added,,b,DNA-RNA,0,H20
34,34,00:00:00,N,11,43.44,RNAseT_added,,a,DNA-RNA,0,2XBB
35,35,00:00:00,O,11,46.33600000000001,RNAseT_added,,b,DNA-RNA,0,2XBB
36,36,00:00:00,J,13,86.88,standard,0.15625,a,standard,,standard
37,37,00:00:00,K,13,89.77600000000002,standard,0.15625,b,standard,,standard
38,38,00:00:00,L,13,28.96,no_RNAseT,,a,DNA-RNA,45,H20
39,39,00:00:00,M,13,49.232,no_RNAseT,,b,DNA-RNA,45,H20
40,40,00:00:00,N,13,55.024,no_RNAseT,,a,DNA-RNA,45,2XBB
41,41,00:00:00,O,13,28.96,no_RNAseT,,b,DNA-RNA,45,2XBB
42,42,00:00:00,J,15,98.464,standard,0.078125,a,standard,,standard
43,43,00:00:00,K,15,69.50399999999999,standard,0.078125,b,standard,,standard
44,44,00:00:00,L,15,55.024,RNAseT_added,,a,RNA,45,H20
45,45,00:00:00,M,15,46.33600000000001,RNAseT_added,,b,RNA,45,H20
46,46,00:00:00,N,15,616.8480000000002,RNAseT_added,,a,DNA-RNA,5,DNAse1
47,47,00:00:00,O,15,428.608,RNAseT_added,,b,DNA-RNA,5,DNAse1
48,48,00:00:00,J,17,86.88,standard,0.0390625,a,standard,,standard
49,49,00:00:00,K,17,63.712,standard,0.0390625,b,standard,,standard
50,50,00:00:00,L,17,46.33600000000001,,,a,,,
51,51,00:00:00,M,17,37.648,,,b,,,
52,52,00:00:00,N,17,31.856,,,a,,,
53,53,00:00:00,O,17,34.751999999999995,,,b,,,
54,54,00:00:00,J,19,81.08800000000002,standard,0.0195312,a,standard,,standard
55,55,00:00:00,K,19,52.128,standard,0.0195312,b,standard,,standard
56,56,00:00:00,L,19,26.064,,,a,,,
57,57,00:00:00,M,19,57.92,,,b,,,
58,58,00:00:00,N,19,34.751999999999995,,,a,,,
59,59,00:00:00,O,19,40.544,,,b,,,
60,60,00:00:00,J,21,118.736,standard,0.0097656,a,standard,,standard
61,61,00:00:00,K,21,121.632,standard,0.0097656,b,standard,,standard
62,62,00:00:00,L,21,49.232,,,a,,,
63,63,00:00:00,M,21,52.128,,,b,,,
64,64,00:00:00,N,21,37.648,,,a,,,
65,65,00:00:00,O,21,37.648,,,b,,,
66,66,00:00:00,J,23,81.08800000000002,standard,0,a,standard,,standard
67,67,00:00:00,K,23,81.08800000000002,standard,0,b,standard,,standard
68,68,00:00:00,L,23,40.544,,,a,,,
69,69,00:00:00,M,23,43.44,,,b,,,
70,70,00:00:00,N,23,49.232,,,a,,,
71,71,00:00:00,O,23,31.856,,,b,,,
72,72,00:10:00,J,1,6505.86,standard,10,a,standard,,standard
73,73,00:10:00,K,1,6406.265,standard,10,b,standard,,standard
74,74,00:10:00,L,1,6429.699000000001,RNAseT_added,,a,DNA-RNA,45,H20
75,75,00:10:00,M,1,6379.901,RNAseT_added,,b,DNA-RNA,45,H20
76,76,00:10:00,N,1,76.16,RNAseT_added,,a,DNA-RNA,45,2XBB
77,77,00:10:00,O,1,82.01899999999998,RNAseT_added,,b,DNA-RNA,45,2XBB
78,78,00:10:00,J,3,3673.277,standard,5,a,standard,,standard
79,79,00:10:00,K,3,3608.833,standard,5,b,standard,,standard
80,80,00:10:00,L,3,3919.333,RNAseT_added,,a,DNA-RNA,15,H20
81,81,00:10:00,M,3,3652.772,RNAseT_added,,b,DNA-RNA,15,H20
82,82,00:10:00,N,3,20.505,RNAseT_added,,a,DNA-RNA,15,2XBB
83,83,00:10:00,O,3,43.93899999999999,RNAseT_added,,b,DNA-RNA,15,2XBB
84,84,00:10:00,J,5,2056.332000000001,standard,2.5,a,standard,,standard
85,85,00:10:00,K,5,1909.87,standard,2.5,b,standard,,standard
86,86,00:10:00,L,5,1584.723,RNAseT_added,,a,DNA-RNA,5,H20
87,87,00:10:00,M,5,1429.473,RNAseT_added,,b,DNA-RNA,5,H20
88,88,00:10:00,N,5,43.93899999999999,RNAseT_added,,a,DNA-RNA,5,2XBB
89,89,00:10:00,O,5,38.08,RNAseT_added,,b,DNA-RNA,5,2XBB
90,90,00:10:00,J,7,1080.892,standard,1.25,a,standard,,standard
91,91,00:10:00,K,7,975.44,standard,1.25,b,standard,,standard
92,92,00:10:00,L,7,243.128,RNAseT_added,,a,DNA-RNA,1.66,H20
93,93,00:10:00,M,7,237.269,RNAseT_added,,b,DNA-RNA,1.66,H20
94,94,00:10:00,N,7,35.151,RNAseT_added,,a,DNA-RNA,1.66,2XBB
95,95,00:10:00,O,7,38.08,RNAseT_added,,b,DNA-RNA,1.66,2XBB
96,96,00:10:00,J,9,410.095,standard,0.625,a,standard,,standard
97,97,00:10:00,K,9,377.8730000000001,standard,0.625,b,standard,,standard
98,98,00:10:00,L,9,61.514,RNAseT_added,,a,DNA-RNA,0.833,H20
99,99,00:10:00,M,9,79.09,RNAseT_added,,b,DNA-RNA,0.833,H20
100,100,00:10:00,N,9,35.151,RNAseT_added,,a,DNA-RNA,0.833,2XBB
