,experiment,read,read_number,row,column,well,rfu_value,standard_substrate,kit,minutes,concentration,concentration_moles
0,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,A,4,A4,2.06502E+07,ATP,ENLITEN_kinetics,0,10^-11mol/100nM,1E-11
1,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,A,4,A4,2.02712E+07,ATP,ENLITEN_kinetics,0,10^-11mol/100nM,1E-11
2,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,A,4,A4,2.00362E+07,ATP,ENLITEN_kinetics,0,10^-11mol/100nM,1E-11
3,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,A,4,A4,1.96458E+07,ATP,ENLITEN_kinetics,0,10^-11mol/100nM,1E-11
4,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,A,4,A4,5E+07,ATP,ENLITEN_kinetics,0,10^-11mol/100nM,1E-11
5,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,A,4,A4,5E+07,ATP,ENLITEN_kinetics,0,10^-11mol/100nM,1E-11
6,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,7,A,4,A4,5E+07,ATP,ENLITEN_kinetics,0,10^-11mol/100nM,1E-11
7,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,8,A,4,A4,5E+07,ATP,ENLITEN_kinetics,0,10^-11mol/100nM,1E-11
8,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,9,A,4,A4,5E+07,ATP,ENLITEN_kinetics,0,10^-11mol/100nM,1E-11
9,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,10,A,4,A4,5E+07,ATP,ENLITEN_kinetics,0,10^-11mol/100nM,1E-11
10,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,11,A,4,A4,5E+07,ATP,ENLITEN_kinetics,0,10^-11mol/100nM,1E-11
11,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,12,A,4,A4,5E+07,ATP,ENLITEN_kinetics,0,10^-11mol/100nM,1E-11
12,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,13,A,4,A4,5E+07,ATP,ENLITEN_kinetics,0,10^-11mol/100nM,1E-11
