,Unnamed: 0,time,row_384,column_384,rfu_value,sample_set,standard_conc,gRNA_used,gRNA_description,replicate
0,0,00:00:00,A,1,1436.619,target_added,,G8,guide with 5As before 2Cs,a
1,1,00:00:00,B,1,14.252,no_RNAse,,G8,guide with 5As before 2Cs,a
2,2,00:00:00,C,1,1023.306,no_target,,G8,guide with 5As before 2Cs,a
3,3,00:00:00,D,1,8.551,no_gRNA,,G8,guide with 5As before 2Cs,a
4,4,00:00:00,E,1,6898.052,standard,10,standard,standard,a
5,5,00:00:00,F,1,6624.41,standard,10,standard,standard,b
6,6,00:00:00,G,1,6550.298000000002,standard,10,standard,standard,c
7,7,00:00:00,H,1,5.7010000000000005,degraded_target,,,,d
8,8,00:00:00,A,3,1068.913,target_added,,H6,guide with 2Cs,a
9,9,00:00:00,B,3,0.0,no_RNAse,,H6,guide with 2Cs,a
10,10,00:00:00,C,3,772.4680000000002,no_target,,H6,guide with 2Cs,a
11,11,00:00:00,D,3,8.551,no_gRNA,,H6,guide with 2Cs,a
12,12,00:00:00,E,3,3377.765,standard,5,standard,standard,a
13,13,00:00:00,F,3,3443.325,standard,5,standard,standard,b
14,14,00:00:00,G,3,3183.936,standard,5,standard,standard,c
15,15,00:00:00,H,3,0.0,degraded_target,,,,d
16,16,00:00:00,A,5,555.835,target_added,,C4,guide with 3Cs,a
17,17,00:00:00,B,5,8.551,no_RNAse,,C4,guide with 3Cs,a
18,18,00:00:00,C,5,396.21,no_target,,C4,guide with 3Cs,a
19,19,00:00:00,D,5,8.551,no_gRNA,,C4,guide with 3Cs,a
20,20,00:00:00,E,5,1348.255,standard,2.5,standard,standard,a
21,21,00:00:00,F,5,1279.845,standard,2.5,standard,standard,b
22,22,00:00:00,G,5,1162.977,standard,2.5,standard,standard,c
23,23,00:00:00,H,5,2.85,no_sample,,,,d
24,24,00:00:00,A,7,1636.149,target_added,,D9,guide with 3Cs,a
25,25,00:00:00,B,7,5.7010000000000005,no_RNAse,,D9,guide with 3Cs,a
26,26,00:00:00,C,7,986.25,no_target,,D9,guide with 3Cs,a
27,27,00:00:00,D,7,5.7010000000000005,no_gRNA,,D9,guide with 3Cs,a
