,Unnamed: 0,time,row_384,column_384,rfu_value,replicate,sample_set,gRNA_used,target_added
0,0,00:00:00,A,2,47.848,a,unpurified,B1,RPA_2_B1_16srRNA_10ng
1,1,00:00:00,C,2,17.273,a,unpurified,B1,RPA_2_B1_16srRNA_0.1ng
2,2,00:00:00,E,2,3.651,a,unpurified,B1,RPA_2_B1_16srRNA_0ng
3,3,00:00:00,G,2,105.75,a,unpurified,H6,RPA_48_H6_IS1081_10ng
4,4,00:00:00,I,2,84.404,a,unpurified,H6,RPA_48_H6_IS1081_0.1ng
5,5,00:00:00,K,2,3.706,a,unpurified,H6,RPA_48_H6_IS1081_0ng
6,6,00:00:00,M,2,5.315,a,control,B1,synthetic_B1
7,7,00:00:00,O,2,2.729,a,control,B1,no_target
8,8,00:00:00,A,4,8.703,a,purified,B1,RPA_2_B1_16srRNA_10ng
9,9,00:00:00,C,4,4.117,a,purified,B1,RPA_2_B1_16srRNA_0.1ng
10,10,00:00:00,E,4,3.222,a,purified,B1,RPA_2_B1_16srRNA_0ng
11,11,00:00:00,G,4,12.880999999999998,a,purified,H6,RPA_48_H6_IS1081_10ng
12,12,00:00:00,I,4,17.127,a,purified,H6,RPA_48_H6_IS1081_0.1ng
13,13,00:00:00,K,4,3.289,a,purified,H6,RPA_48_H6_IS1081_0ng
14,14,00:00:00,M,4,7.011,a,control,H6,synthetic_H6
15,15,00:00:00,O,4,2.962,a,control,H6,no_target
16,16,00:00:00,A,6,45.853,b,unpurified,B1,RPA_2_B1_16srRNA_10ng
17,17,00:00:00,C,6,19.262,b,unpurified,B1,RPA_2_B1_16srRNA_0.1ng
18,18,00:00:00,E,6,3.987,b,unpurified,B1,RPA_2_B1_16srRNA_0ng
19,19,00:00:00,G,6,92.53,b,unpurified,H6,RPA_48_H6_IS1081_10ng
20,20,00:00:00,I,6,90.806,b,unpurified,H6,RPA_48_H6_IS1081_0.1ng
21,21,00:00:00,K,6,3.512,b,unpurified,H6,RPA_48_H6_IS1081_0ng
22,22,00:00:00,M,6,5.075,b,control,B1,synthetic_B1
23,23,00:00:00,O,6,2.931,b,control,B1,no_target
24,24,00:00:00,A,8,7.362,b,purified,B1,RPA_2_B1_16srRNA_10ng
25,25,00:00:00,C,8,4.154,b,purified,B1,RPA_2_B1_16srRNA_0.1ng
26,26,00:00:00,E,8,3.683,b,purified,B1,RPA_2_B1_16srRNA_0ng
27,27,00:00:00,G,8,10.175,b,purified,H6,RPA_48_H6_IS1081_10ng
28,28,00:00:00,I,8,12.527,b,purified,H6,RPA_48_H6_IS1081_0.1ng
29,29,00:00:00,K,8,2.9930000000000003,b,purified,H6,RPA_48_H6_IS1081_0ng
30,30,00:00:00,M,8,8.001,b,control,H6,synthetic_H6
31,31,00:00:00,O,8,2.9930000000000003,b,control,H6,no_target
32,32,00:00:00,A,10,7.247999999999998,a,2XBB,syn-11C,C11
33,33,00:00:00,C,10,8.867,a,2XBB,IVT-11C,C11
34,34,00:00:00,E,10,4.43,a,2XBB,syn-11C,no_target
35,35,00:00:00,G,10,4.593,a,2XBB,IVT-11C,no_target
36,36,00:00:00,I,10,255.109,a,NEB2.1,syn-11C,C11
37,37,00:00:00,K,10,399.885,a,NEB2.1,IVT-11C,C11
38,38,00:00:00,M,10,4.05,a,NEB2.1,syn-11C,no_target
39,39,00:00:00,O,10,5.544,a,NEB2.1,IVT-11C,no_target
40,40,00:00:00,A,12,6.818,b,2XBB,syn-11C,C11
41,41,00:00:00,C,12,8.238,b,2XBB,IVT-11C,C11
42,42,00:00:00,E,12,4.25,b,2XBB,syn-11C,no_target
43,43,00:00:00,G,12,4.597,b,2XBB,IVT-11C,no_target
44,44,00:00:00,I,12,240.357,b,NEB2.1,syn-11C,C11
45,45,00:00:00,K,12,346.291,b,NEB2.1,IVT-11C,C11
46,46,00:00:00,M,12,4.02,b,NEB2.1,syn-11C,no_target
47,47,00:00:00,O,12,4.979,b,NEB2.1,IVT-11C,no_target
48,48,00:10:00,A,2,76.61399999999998,a,unpurified,B1,RPA_2_B1_16srRNA_10ng
49,49,00:10:00,C,2,27.29,a,unpurified,B1,RPA_2_B1_16srRNA_0.1ng
50,50,00:10:00,E,2,3.847,a,unpurified,B1,RPA_2_B1_16srRNA_0ng
51,51,00:10:00,G,2,166.77700000000004,a,unpurified,H6,RPA_48_H6_IS1081_10ng
52,52,00:10:00,I,2,138.799,a,unpurified,H6,RPA_48_H6_IS1081_0.1ng
53,53,00:10:00,K,2,3.781,a,unpurified,H6,RPA_48_H6_IS1081_0ng
54,54,00:10:00,M,2,7.265,a,control,B1,synthetic_B1
55,55,00:10:00,O,2,2.734,a,control,B1,no_target
56,56,00:10:00,A,4,12.265999999999998,a,purified,B1,RPA_2_B1_16srRNA_10ng
57,57,00:10:00,C,4,4.734,a,purified,B1,RPA_2_B1_16srRNA_0.1ng
58,58,00:10:00,E,4,3.175,a,purified,B1,RPA_2_B1_16srRNA_0ng
59,59,00:10:00,G,4,21.934,a,purified,H6,RPA_48_H6_IS1081_10ng
60,60,00:10:00,I,4,28.951,a,purified,H6,RPA_48_H6_IS1081_0.1ng
61,61,00:10:00,K,4,3.0460000000000003,a,purified,H6,RPA_48_H6_IS1081_0ng
62,62,00:10:00,M,4,9.958,a,control,H6,synthetic_H6
63,63,00:10:00,O,4,2.793,a,control,H6,no_target
64,64,00:10:00,A,6,77.693,b,unpurified,B1,RPA_2_B1_16srRNA_10ng
65,65,00:10:00,C,6,33.142,b,unpurified,B1,RPA_2_B1_16srRNA_0.1ng
66,66,00:10:00,E,6,4.08,b,unpurified,B1,RPA_2_B1_16srRNA_0ng
67,67,00:10:00,G,6,156.352,b,unpurified,H6,RPA_48_H6_IS1081_10ng
68,68,00:10:00,I,6,151.063,b,unpurified,H6,RPA_48_H6_IS1081_0.1ng
69,69,00:10:00,K,6,3.968,b,unpurified,H6,RPA_48_H6_IS1081_0ng
70,70,00:10:00,M,6,6.497999999999998,b,control,B1,synthetic_B1
71,71,00:10:00,O,6,2.759,b,control,B1,no_target
72,72,00:10:00,A,8,9.894,b,purified,B1,RPA_2_B1_16srRNA_10ng
73,73,00:10:00,C,8,4.36,b,purified,B1,RPA_2_B1_16srRNA_0.1ng
74,74,00:10:00,E,8,3.57,b,purified,B1,RPA_2_B1_16srRNA_0ng
75,75,00:10:00,G,8,17.351,b,purified,H6,RPA_48_H6_IS1081_10ng
76,76,00:10:00,I,8,21.029,b,purified,H6,RPA_48_H6_IS1081_0.1ng
77,77,00:10:00,K,8,3.026,b,purified,H6,RPA_48_H6_IS1081_0ng
78,78,00:10:00,M,8,12.728,b,control,H6,synthetic_H6
79,79,00:10:00,O,8,2.969,b,control,H6,no_target
80,80,00:10:00,A,10,9.959,a,2XBB,syn-11C,C11
81,81,00:10:00,C,10,13.302,a,2XBB,IVT-11C,C11
82,82,00:10:00,E,10,4.481,a,2XBB,syn-11C,no_target
83,83,00:10:00,G,10,4.842,a,2XBB,IVT-11C,no_target
84,84,00:10:00,I,10,316.777,a,NEB2.1,syn-11C,C11
85,85,00:10:00,K,10,468.918,a,NEB2.1,IVT-11C,C11
86,86,00:10:00,M,10,4.045,a,NEB2.1,syn-11C,no_target
87,87,00:10:00,O,10,7.142,a,NEB2.1,IVT-11C,no_target
88,88,00:10:00,A,12,9.454,b,2XBB,syn-11C,C11
89,89,00:10:00,C,12,11.935,b,2XBB,IVT-11C,C11
90,90,00:10:00,E,12,4.315,b,2XBB,syn-11C,no_target
91,91,00:10:00,G,12,4.492,b,2XBB,IVT-11C,no_target
92,92,00:10:00,I,12,304.11,b,NEB2.1,syn-11C,C11
93,93,00:10:00,K,12,441.408,b,NEB2.1,IVT-11C,C11
94,94,00:10:00,M,12,4.064,b,NEB2.1,syn-11C,no_target
95,95,00:10:00,O,12,7.006,b,NEB2.1,IVT-11C,no_target
96,96,00:20:00,A,2,113.281,a,unpurified,B1,RPA_2_B1_16srRNA_10ng
97,97,00:20:00,C,2,39.355,a,unpurified,B1,RPA_2_B1_16srRNA_0.1ng
98,98,00:20:00,E,2,3.89,a,unpurified,B1,RPA_2_B1_16srRNA_0ng
99,99,00:20:00,G,2,214.648,a,unpurified,H6,RPA_48_H6_IS1081_10ng
100,100,00:20:00,I,2,179.815,a,unpurified,H6,RPA_48_H6_IS1081_0.1ng
101,101,00:20:00,K,2,3.544,a,unpurified,H6,RPA_48_H6_IS1081_0ng
102,102,00:20:00,M,2,9.723,a,control,B1,synthetic_B1
103,103,00:20:00,O,2,2.69,a,control,B1,no_target
104,104,00:20:00,A,4,16.309,a,purified,B1,RPA_2_B1_16srRNA_10ng
105,105,00:20:00,C,4,5.551,a,purified,B1,RPA_2_B1_16srRNA_0.1ng
106,106,00:20:00,E,4,3.049,a,purified,B1,RPA_2_B1_16srRNA_0ng
107,107,00:20:00,G,4,30.773000000000003,a,purified,H6,RPA_48_H6_IS1081_10ng
108,108,00:20:00,I,4,41.767,a,purified,H6,RPA_48_H6_IS1081_0.1ng
109,109,00:20:00,K,4,3.364,a,purified,H6,RPA_48_H6_IS1081_0ng
110,110,00:20:00,M,4,14.362,a,control,H6,synthetic_H6
111,111,00:20:00,O,4,2.9,a,control,H6,no_target
112,112,00:20:00,A,6,109.389,b,unpurified,B1,RPA_2_B1_16srRNA_10ng
113,113,00:20:00,C,6,48.309,b,unpurified,B1,RPA_2_B1_16srRNA_0.1ng
114,114,00:20:00,E,6,4.032,b,unpurified,B1,RPA_2_B1_16srRNA_0ng
115,115,00:20:00,G,6,195.379,b,unpurified,H6,RPA_48_H6_IS1081_10ng
116,116,00:20:00,I,6,198.674,b,unpurified,H6,RPA_48_H6_IS1081_0.1ng
117,117,00:20:00,K,6,3.519,b,unpurified,H6,RPA_48_H6_IS1081_0ng
118,118,00:20:00,M,6,8.783999999999999,b,control,B1,synthetic_B1
119,119,00:20:00,O,6,2.928,b,control,B1,no_target
120,120,00:20:00,A,8,13.35,b,purified,B1,RPA_2_B1_16srRNA_10ng
121,121,00:20:00,C,8,5.2570000000000014,b,purified,B1,RPA_2_B1_16srRNA_0.1ng
122,122,00:20:00,E,8,3.353,b,purified,B1,RPA_2_B1_16srRNA_0ng
123,123,00:20:00,G,8,25.275,b,purified,H6,RPA_48_H6_IS1081_10ng
124,124,00:20:00,I,8,31.907,b,purified,H6,RPA_48_H6_IS1081_0.1ng
125,125,00:20:00,K,8,2.749,b,purified,H6,RPA_48_H6_IS1081_0ng
126,126,00:20:00,M,8,18.104,b,control,H6,synthetic_H6
127,127,00:20:00,O,8,2.69,b,control,H6,no_target
128,128,00:20:00,A,10,12.867,a,2XBB,syn-11C,C11
129,129,00:20:00,C,10,18.997,a,2XBB,IVT-11C,C11
130,130,00:20:00,E,10,4.214,a,2XBB,syn-11C,no_target
131,131,00:20:00,G,10,4.651,a,2XBB,IVT-11C,no_target
132,132,00:20:00,I,10,322.59,a,NEB2.1,syn-11C,C11
133,133,00:20:00,K,10,461.217,a,NEB2.1,IVT-11C,C11
134,134,00:20:00,M,10,3.962,a,NEB2.1,syn-11C,no_target
135,135,00:20:00,O,10,9.065,a,NEB2.1,IVT-11C,no_target
136,136,00:20:00,A,12,11.884,b,2XBB,syn-11C,C11
137,137,00:20:00,C,12,16.512999999999998,b,2XBB,IVT-11C,C11
138,138,00:20:00,E,12,4.249,b,2XBB,syn-11C,no_target
139,139,00:20:00,G,12,4.145,b,2XBB,IVT-11C,no_target
140,140,00:20:00,I,12,304.673,b,NEB2.1,syn-11C,C11
141,141,00:20:00,K,12,435.092,b,NEB2.1,IVT-11C,C11
142,142,00:20:00,M,12,3.789,b,NEB2.1,syn-11C,no_target
143,143,00:20:00,O,12,9.24,b,NEB2.1,IVT-11C,no_target
144,144,00:30:00,A,2,149.283,a,unpurified,B1,RPA_2_B1_16srRNA_10ng
145,145,00:30:00,C,2,52.476000000000006,a,unpurified,B1,RPA_2_B1_16srRNA_0.1ng
146,146,00:30:00,E,2,3.73,a,unpurified,B1,RPA_2_B1_16srRNA_0ng
147,147,00:30:00,G,2,243.507,a,unpurified,H6,RPA_48_H6_IS1081_10ng
148,148,00:30:00,I,2,215.734,a,unpurified,H6,RPA_48_H6_IS1081_0.1ng
149,149,00:30:00,K,2,3.354,a,unpurified,H6,RPA_48_H6_IS1081_0ng
150,150,00:30:00,M,2,12.402,a,control,B1,synthetic_B1
