,time,row_384,column_384,rfu_value,input_conc,input_conc_nM,replicate,reporter
0,00:00:00,A,1,41.988,5uM,5000,a,DNA-FAM
1,00:00:00,B,1,45.027,5uM,5000,b,DNA-FAM
2,00:00:00,C,1,218.253,5uM,5000,a,RNA-FAM
3,00:00:00,D,1,193.46900000000002,5uM,5000,b,RNA-FAM
4,00:00:00,A,3,51.208999999999996,500nM,500,a,DNA-FAM
5,00:00:00,B,3,54.093,500nM,500,b,DNA-FAM
6,00:00:00,C,3,195.903,500nM,500,a,RNA-FAM
7,00:00:00,D,3,203.41400000000002,500nM,500,b,RNA-FAM
8,00:00:00,A,5,70.377,50nM,50,a,DNA-FAM
9,00:00:00,B,5,83.479,50nM,50,b,DNA-FAM
10,00:00:00,C,5,198.48,50nM,50,a,RNA-FAM
11,00:00:00,D,5,200.81599999999997,50nM,50,b,RNA-FAM
12,00:00:00,A,7,60.728,5nM,5,a,DNA-FAM
13,00:00:00,B,7,60.794,5nM,5,b,DNA-FAM
14,00:00:00,C,7,191.484,5nM,5,a,RNA-FAM
15,00:00:00,D,7,201.196,5nM,5,b,RNA-FAM
16,00:00:00,A,9,29.752,500pM,0.5,a,DNA-FAM
17,00:00:00,B,9,28.053,500pM,0.5,b,DNA-FAM
18,00:00:00,C,9,201.167,500pM,0.5,a,RNA-FAM
19,00:00:00,D,9,192.61700000000002,500pM,0.5,b,RNA-FAM
20,00:00:00,A,11,29.236,50pM,0.05,a,DNA-FAM
21,00:00:00,B,11,28.301,50pM,0.05,b,DNA-FAM
22,00:00:00,C,11,207.157,50pM,0.05,a,RNA-FAM
23,00:00:00,D,11,213.942,50pM,0.05,b,RNA-FAM
24,00:00:00,A,13,29.49,5pM,0.005,a,DNA-FAM
25,00:00:00,B,13,28.365,5pM,0.005,b,DNA-FAM
26,00:00:00,C,13,209.727,5pM,0.005,a,RNA-FAM
27,00:00:00,D,13,208.90599999999998,5pM,0.005,b,RNA-FAM
28,00:00:00,A,15,29.006999999999998,500fM,0.0005,a,DNA-FAM
29,00:00:00,B,15,27.361,500fM,0.0005,b,DNA-FAM
30,00:00:00,C,15,213.477,500fM,0.0005,a,RNA-FAM
31,00:00:00,D,15,210.358,500fM,0.0005,b,RNA-FAM
32,00:00:00,A,17,31.046999999999997,50fM,0.00005,a,DNA-FAM
33,00:00:00,B,17,31.485,50fM,0.00005,b,DNA-FAM
34,00:00:00,C,17,204.90200000000002,50fM,0.00005,a,RNA-FAM
35,00:00:00,D,17,204.54,50fM,0.00005,b,RNA-FAM
36,00:00:00,A,19,30.008000000000003,5fM,0.000005,a,DNA-FAM
37,00:00:00,B,19,27.581,5fM,0.000005,b,DNA-FAM
38,00:00:00,C,19,218.41400000000002,5fM,0.000005,a,RNA-FAM
39,00:00:00,D,19,214.47400000000002,5fM,0.000005,b,RNA-FAM
40,00:00:00,A,21,29.728,no_target,0,a,DNA-FAM
41,00:00:00,B,21,31.004,no_target,0,b,DNA-FAM
42,00:00:00,C,21,229.827,no_target,0,a,RNA-FAM
43,00:00:00,D,21,200.196,no_target,0,b,RNA-FAM
44,00:00:00,A,23,29.535999999999998,no_cas12a,0,a,DNA-FAM
45,00:00:00,B,23,28.945,no_cas12a,0,b,DNA-FAM
46,00:00:00,C,23,217.835,no_cas12a,0,a,RNA-FAM
47,00:00:00,D,23,222.40599999999998,no_cas12a,0,b,RNA-FAM
48,00:10:00,A,1,54.968,5uM,5000,a,DNA-FAM
