Protocol Description
,Protocol name: amyl-detectr053
,Result File name: \Thumb Drive\Promega\Data\CSV\atp-stds_amyl-detectr053_1-29-2020_10-55-01 PM.csv
,Total steps: 1


Step 1,Luminescence,100µl per well (Injector 2) 2sec. 1 repeat. 96 well plate. kinetics
Results
,Well,Read 1,Read 2,Read 3,Read 4,Read 5,Read 6
,A1,57.5001,59.9002,60.9002,62.0002,59.3001,62.6002
,A2,132.901,134.301,128.901,126.501,132.701,129.701
,A3,245.803,246.703,232.402,250.503,246.203,244.903
,A4,1357.68,1339.78,1325.87,1357.78,1323.57,1309.47
,A5,12613.7,12526.2,12374.1,12299.2,12516.9,12175.4
,A6,128862,127693,129293,126890,127433,125399
,A7,1325240,1342460,1330550,1321670,1326630,1302670
,A8,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07
,A9,
,A10,
,A11,
,A12,
,B1,58.9001,50.2001,53.1001,54.6001,54.8001,53.0001
,B2,122.301,124.601,120.901,122.501,129.301,130.601
,B3,253.303,256.303,245.803,246.103,239.702,245.803
,B4,1336.98,1354.78,1366.58,1330.57,1314.67,1334.27
,B5,12599.8,12487.4,12409.7,12387.2,12404.1,12272.6
,B6,129051,128561,127243,127278,128994,127994
,B7,1357200,1359700,1344660,1344220,1352070,1322020
,B8,2.31058E+07,5E+07,5E+07,5E+07,5E+07,5E+07
,B9,
,B10,
,B11,
,B12,
,C1,126.301,112.001,125.601,111.501,107.8,107.4
,C2,127.901,116.201,129.401,120.401,126.001,126.701
,C3,268.203,262.803,272.103,267.903,270.003,253.803
,C4,1333.37,1330.77,1298.77,1335.27,1328.97,1308.17
,C5,12700.4,12918.2,12665.1,12583.9,12496.8,12377.5
,C6,128713,129248,127549,127249,126236,126009
,C7,1351190,1346250,1345190,1332250,1332870,1311960
,C8,2.28668E+07,2.26671E+07,2.22252E+07,2.19375E+07,2.16852E+07,5E+07
,C9,
,C10,
,C11,
,C12,
,D1,
,D2,
,D3,
,D4,
,D5,
,D6,
,D7,
,D8,
,D9,
,D10,
,D11,
,D12,
,E1,
,E2,
,E3,
,E4,
,E5,
,E6,
,E7,
,E8,
,E9,
,E10,
,E11,
,E12,
,F1,
,F2,
,F3,
,F4,
,F5,
,F6,
,F7,
,F8,
,F9,
,F10,
,F11,
,F12,
,G1,
,G2,
,G3,
,G4,
,G5,
,G6,
,G7,
,G8,
,G9,
,G10,
,G11,
,G12,
,H1,
,H2,
,H3,
,H4,
,H5,
,H6,
,H7,
,H8,
,H9,
,H10,
,H11,
,H12,


Notes for the assay run: Enter Notes
