Protocol Description
,Protocol name: amyl-detectr049
,Result File name: \Thumb Drive\Promega\Data\CSV\aft-clean_amyl-detectr049_1-9-2020_8-55-22 PM.csv
,Total steps: 1


Step 1,Luminescence,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics
Results
,Well,Read 1,Read 2,Read 3,Read 4,Read 5,Read 6
,A1,
,A2,
,A3,
,A4,
,A5,
,A6,
,A7,
,A8,
,A9,
,A10,
,A11,
,A12,
,B1,
,B2,
,B3,
,B4,
,B5,
,B6,
,B7,
,B8,
,B9,
,B10,
,B11,
,B12,
,C1,
,C2,
,C3,
,C4,
,C5,
,C6,
,C7,
,C8,
,C9,
,C10,19930.6,19415.8,19009.3,18724.5,18409.5,18031.3
,C11,14141.4,13788.4,13519.9,13265.3,13258.5,12805.2
,C12,12657.8,12248.9,12081.3,11800.1,11718.2,11436.5
,D1,
,D2,
,D3,
,D4,
,D5,
,D6,
,D7,
,D8,
,D9,
,D10,
,D11,
,D12,
,E1,
,E2,
,E3,
,E4,
,E5,
,E6,
,E7,
,E8,
,E9,
,E10,
,E11,
,E12,
,F1,
,F2,
,F3,
,F4,
,F5,
,F6,
,F7,
,F8,
,F9,
,F10,
,F11,
,F12,
,G1,
,G2,
,G3,
,G4,
,G5,
,G6,
,G7,
,G8,
,G9,
,G10,
,G11,
,G12,
,H1,
,H2,
,H3,
,H4,
,H5,
,H6,
,H7,
,H8,
,H9,
,H10,
,H11,
,H12,


Notes for the assay run: Enter Notes
